Player,N,Team,Total AV,Position,School,College Gms,Yrs at College,Missed Gm in COL,Avg Pos Rk,Rd Drafted,Pos # Dr.,Org AllPro at Pos,Avg rk contract,First Start,Team Playoffs?,Arms,Hands,Bench Press,40 (Official),Vertical,Broad,3 Cone,20 Yard Shuttle
Henry KriegerCoble,315,DEN,0,TE,1,46,2,,9,8,11,6,0.543,5,0,32,9.75,,4.91,33.5,110,7.16,4.48
Justin Murray,316,DEN,10,T,2,30,1,,31,8,20,3,0.54,4,0,34,9.5,20,4.93,29.5,116,8.01,4.79
Aaron Neary,317,DEN,1,C,3,46,1,,19,8,7,2,0.54,4,0,32.63,9.75,26,5.15,28.5,104,7.53,4.47
Kyle Peko,318,DEN,1,DT,1,12,4,,25,8,23,1,0.54,5,0,32.75,9.25,31,5.13,32.5,116,7.3,4.5
Kalif Raymond,319,DEN,3,WR,3,40,1,,65,8,31,3,0.541,4,0,,,,,,,,
Eddie Yarbrough,320,DEN,5,DE,2,47,2,,20,8,19,7,0.54,4,0,32.13,9.75,28,4.8,32.5,116,7.04,4.41
Terrance Smith,321,KC,4,LB,1,45,2,,26,8,34,12,0.545,2,0,32.75,9.88,19,4.77,34.5,120,7.14,4.49
Zach Sterup,322,KC,2,T,1,33,1,,31,8,20,7,0.54,2,0,33.63,9.5,27,5.04,28,104,7.51,4.79
KJ Brent,323,OAK,0,WR,1,49,2,,65,8,31,5,0.54,5,13,31.63,9.75,6,4.54,34,118,6.89,4.3
James Cowser,324,OAK,3,LB,3,37,0,,18,8,34,3,0.54,5,13,32.88,10.25,24,4.73,34,116,,
Kenneth Durden,325,OAK,0,CB,3,30,2,,40,8,31,12,0.54,5,13,,,,,,,,
Antonio Hamilton,326,OAK,2,CB,3,51,2,,40,8,31,12,0.542,4,13,30,8.25,14,4.46,38,132,6.97,4.27
Johnny Holton,327,OAK,3,WR,2,20,4,,45,8,31,5,0.542,4,13,32.88,9.88,8,4.54,31.5,123,,
Denver Kirkland,328,OAK,2,G,1,37,0,,14,8,14,7,0.495,2,13,34.63,9.63,19,5.55,22.5,94,8.72,5.06
Darius Latham,329,OAK,2,DT,1,35,0,,28,8,23,5,0.543,2,13,34.75,10,19,5.32,29,100,7.76,4.63
Max McCaffrey,330,OAK,0,WR,1,53,1,,65,8,31,5,0.54,5,13,32.5,9,9,4.46,36.5,122,7.09,4.15
Tony McRae,331,OAK,2,CB,3,46,1,,40,8,31,12,0.54,4,13,29.25,9,13,4.56,36.5,125,7.55,4.33
Jaydon Mickens,332,OAK,3,WR,1,53,1,,38,8,31,5,0.54,4,13,28.88,9,13,4.54,35.5,121,6.62,3.93
Ryan O'Malley,333,OAK,0,TE,3,38,1,,25,8,11,7,0.54,5,13,31.25,9.25,19,4.77,32,117,7.47,4.53
Jalen Richard,334,OAK,20,RB,2,40,1,,36,8,20,3,0.54,4,13,29.13,8.88,13,4.6,35.5,114,7.36,4.95
Kenneth Farrow,335,SD,2,RB,2,48,2,,36,8,20,4,0.542,2,2,31.38,9.5,23,4.59,38,122,6.95,4.14
Chris Landrum,336,SD,2,LB,3,39,2,,43,8,34,7,0.54,5,2,,,17,4.79,31,113,7.29,4.62
Spencer Pulley,337,SD,15,C,1,50,2,,19,8,7,0,0.541,3,2,31.13,10,28,5.1,28.5,112,7.39,4.48
Trevor Williams,338,SD,11,CB,1,45,1,,40,8,31,1,0.54,2,2,31.13,8.5,16,4.44,35.5,125,6.8,4.22
Ben Braunecker,339,CHI,0,TE,3,25,0,,12,8,11,0,0.54,2,5,32.75,9.5,20,4.73,35.5,121,6.9,4.2
Taveze Calhoun,340,CHI,0,CB,1,50,1,,25,8,31,1,0.54,5,5,31.88,9,14,4.58,33.5,116,6.99,4.5
Kevin Peterson,341,CHI,4,CB,1,50,1,,22,8,31,1,0.54,4,5,30.5,8.88,14,4.66,35.5,121,6.94,4.31
Roy RobertsonHarris,342,CHI,9,DE,2,47,2,,21,8,19,3,0.542,4,5,,,,,,,,
Jace Billingsley,343,DET,0,WR,4,43,1,,65,8,31,7,0.54,5,1,,,,,,,,
Charles Washington,344,DET,3,CB,2,51,2,,40,8,31,2,0.54,5,1,30.38,9.63,18,4.48,41,125,7.23,4.48
Cole Wick,345,DET,0,TE,2,38,1,,25,8,11,3,0.543,5,1,33.75,10.38,14,4.93,36.5,125,7.16,4.32
Geronimo Allison,346,GB,9,WR,1,24,4,,40,8,31,5,0.495,2,0,32.88,9.5,,4.67,33,127,7.4,4.28
Kentrell Brice,347,GB,6,S,2,50,1,,24,8,20,8,0.541,2,0,31.25,9.13,21,4.44,41.5,133,7.66,4.4
